Ligand	1_Energy	Mass
ZINC71963189	-10,6	423,37
ZINC13602700	-10,6	394,367
ZINC03544718	-10,6	428,34
ZINC09211041	-10,6	452,37
ZINC14160380	-10,6	446,356
ZINC90678431	-10,6	452,366
ZINC77933217	-10,6	333,261
ZINC13985152	-10,6	361,273
ZINC20580786	-10,6	409,364
ZINC09724204	-10,6	462,812
ZINC62733104	-10,6	474,346
ZINC33068204	-10,6	438,315
ZINC55482670	-10,6	366,292
ZINC33068205	-10,6	420,291
ZINC21723284	-10,6	413,352
ZINC77005841	-10,6	342,273
ZINC89873225	-10,6	365,302
ZINC33068208	-10,6	401,292
ZINC80365728	-10,6	347,246
ZINC27446863	-10,6	329,251
ZINC22270152	-10,6	363,24
ZINC93890276	-10,6	344,245
ZINC49413960	-10,6	470,384
ZINC80365731	-10,6	347,246
ZINC93890279	-10,6	349,237
ZINC60142117	-10,6	448,724
ZINC35503995	-10,6	418,348
ZINC60142120	-10,6	448,724
ZINC10658695	-10,6	431,314
ZINC05589624	-10,6	365,287
ZINC90512474	-10,6	348,275
ZINC00837259	-10,6	341,666
ZINC09908743	-10,6	389,306
ZINC12746595	-10,6	391,301
ZINC21707625	-10,6	346,256
ZINC73817519	-10,6	308,235
ZINC69699705	-10,6	372,277
ZINC13941185	-10,6	377,295
ZINC02661669	-10,6	444,343
ZINC14559749	-10,6	397,144
ZINC14269901	-10,6	438,382
ZINC88338021	-10,6	318,23
ZINC19574506	-10,6	398,292
ZINC20859165	-10,6	436,794
ZINC77980551	-10,6	321,253
ZINC19796550	-10,6	436,386
ZINC14116530	-10,6	416,314
ZINC85644500	-10,6	435,314
ZINC03351053	-10,6	353,273
ZINC02355880	-10,6	413,272
ZINC56904713	-10,6	467,332
ZINC41127016	-10,6	448,38
ZINC12680118	-10,6	458,392
ZINC00902718	-10,6	461,418
ZINC40753207	-10,6	394,308
ZINC38932855	-10,6	344,264
ZINC33140323	-10,6	392,312
ZINC33025176	-10,6	385,293
ZINC03268698	-10,6	439,367
ZINC14018500	-10,6	426,388
ZINC33125333	-10,6	367,279
ZINC08825472	-10,6	429,304
ZINC13985199	-10,6	357,284
ZINC09153348	-10,6	422,322
ZINC35422215	-10,6	416,337
ZINC14559767	-10,6	329,251
ZINC72460032	-10,6	394,326
ZINC10454820	-10,6	401,294
ZINC13632101	-10,6	447,389
ZINC04296329	-10,6	429,174
ZINC33068253	-10,6	446,742
ZINC04296331	-10,6	429,174
ZINC12935545	-10,6	431,366
ZINC34870855	-10,6	382,268
ZINC61284136	-10,6	342,273
ZINC19576974	-10,6	360,268
ZINC14423574	-10,6	434,3
ZINC36885542	-10,6	425,283
ZINC48681881	-10,6	320,289
ZINC88360376	-10,6	325,215
ZINC64705070	-10,6	450,393
ZINC09368509	-10,6	435,402
ZINC38932881	-10,6	370,233
ZINC21897281	-10,5	353,273
ZINC14109334	-10,5	448,347
ZINC09508864	-10,5	427,356
ZINC71963185	-10,5	411,359
ZINC12942369	-10,5	362,257
ZINC53837640	-10,5	391,304
ZINC09211037	-10,5	433,322
ZINC09508866	-10,5	417,293
ZINC38720000	-10,5	402,279
ZINC39894996	-10,5	462,82
ZINC26223785	-10,5	399,683
ZINC11997603	-10,5	415,368
ZINC03362205	-10,5	405,305
ZINC64929147	-10,5	391,727
ZINC88337989	-10,5	318,227
ZINC72009917	-10,5	414,788
ZINC55341209	-10,5	463,387
ZINC33262427	-10,5	376,311
ZINC89583761	-10,5	341,233
ZINC09703456	-10,5	448,735
ZINC12529761	-10,5	426,371
ZINC12634695	-10,5	423,343
ZINC13632054	-10,5	366,292
ZINC20580789	-10,5	409,364
ZINC00691692	-10,5	418,802
ZINC01880388	-10,5	373,306
ZINC15735092	-10,5	434,311
ZINC06653602	-10,5	380,278
ZINC02293718	-10,5	379,309
ZINC77117045	-10,5	356,273
ZINC00552799	-10,5	311,259
ZINC90678435	-10,5	456,354
ZINC94019589	-10,5	353,296
ZINC25053731	-10,5	359,324
ZINC14559731	-10,5	385,133
ZINC39875829	-10,5	472,268
ZINC71840332	-10,5	424,278
ZINC09632731	-10,5	429,348
ZINC21707616	-10,5	383,279
ZINC33125298	-10,5	367,279
ZINC40105441	-10,5	415,278
ZINC21133985	-10,5	444,366
ZINC72002666	-10,5	398,293
ZINC06034620	-10,5	391,325
ZINC20580798	-10,5	409,364
ZINC33125302	-10,5	367,279
ZINC23311593	-10,5	362,303
ZINC38703793	-10,5	466,82
ZINC16362618	-10,5	415,754
ZINC03143779	-10,5	474,371
ZINC67537960	-10,5	370,303
ZINC13992844	-10,5	358,269
ZINC09168277	-10,5	434,151
ZINC06112654	-10,5	336,261
ZINC03373009	-10,5	457,292
ZINC20028662	-10,5	459,268
ZINC38752274	-10,5	357,264
ZINC12866040	-10,5	356,276
ZINC33125309	-10,5	390,721
ZINC09119385	-10,5	427,356
ZINC81594573	-10,5	344,268
ZINC09211064	-10,5	463,395
ZINC08592646	-10,5	420,336
ZINC09211065	-10,5	463,395
ZINC36318277	-10,5	390,333
ZINC59331993	-10,5	385,339
ZINC33282589	-10,5	465,385
ZINC21883655	-10,5	400,739
ZINC72033480	-10,5	449,228
ZINC24870966	-10,5	353,273
ZINC33125317	-10,5	367,279
ZINC71260035	-10,5	412,344
ZINC00902715	-10,5	461,418
ZINC08340825	-10,5	353,273
ZINC74569584	-10,5	333,262
ZINC02342667	-10,5	419,739
ZINC03338468	-10,5	428,313
ZINC09908757	-10,5	452,407
ZINC23858019	-10,5	435,334
ZINC35397931	-10,5	385,32
ZINC15053443	-10,5	376,327
ZINC02929145	-10,5	460,329
ZINC39857845	-10,5	467,782
ZINC93890304	-10,5	340,257
ZINC09235164	-10,5	389,349
ZINC00673066	-10,5	383,276
ZINC00692672	-10,5	386,279
ZINC39875859	-10,5	400,277
ZINC12597607	-10,5	384,263
ZINC09273729	-10,5	413,349
ZINC85644506	-10,5	439,303
ZINC39446811	-10,5	374,271
ZINC16954586	-10,5	450,414
ZINC00826361	-10,5	339,237
ZINC48701954	-10,5	349,257
ZINC09087107	-10,5	452,386
ZINC35175344	-10,5	441,338
ZINC85644510	-10,5	442,757
ZINC14996971	-10,5	426,371
ZINC02335087	-10,5	464,191
ZINC69374379	-10,5	332,257
ZINC10120052	-10,5	359,257
ZINC03362382	-10,5	403,312
ZINC35422218	-10,5	428,348
ZINC14464648	-10,5	398,336
ZINC64705064	-10,5	380,298
ZINC19850959	-10,5	404,323
ZINC63386413	-10,5	386,279
ZINC72002710	-10,5	396,304
ZINC32738352	-10,5	399,268
ZINC08033537	-10,5	400,326
ZINC00557728	-10,5	332,254
ZINC32899446	-10,5	449,358
ZINC06751113	-10,5	376,717
ZINC06751114	-10,5	341,265
ZINC72460037	-10,5	437,352
ZINC14474688	-10,5	327,278
ZINC72092551	-10,5	423,367
ZINC01940469	-10,5	397,35
ZINC81651853	-10,5	326,247
ZINC09632771	-10,5	470,205
ZINC14474690	-10,5	327,278
ZINC09632773	-10,5	428,75
ZINC27076340	-10,5	351,221
ZINC08952747	-10,5	399,275
ZINC09952407	-10,5	447,396
ZINC12372477	-10,5	356,687
ZINC20580849	-10,5	432,805
ZINC02661665	-10,5	412,367
ZINC71840322	-10,4	463,291
ZINC21707601	-10,4	355,268
ZINC25147445	-10,4	463,778
ZINC13602695	-10,4	396,363
ZINC03260201	-10,4	467,38
ZINC33282551	-10,4	370,281
ZINC40762370	-10,4	406,319
ZINC40460614	-10,4	381,326
ZINC09130963	-10,4	467,238
ZINC93890257	-10,4	366,278
ZINC85644472	-10,4	438,313
ZINC93890258	-10,4	366,275
ZINC01742189	-10,4	387,741
ZINC12901642	-10,4	391,341
ZINC12908573	-10,4	421,343
ZINC71963187	-10,4	425,363
ZINC09211039	-10,4	412,753
ZINC46124130	-10,4	459,393
ZINC08994062	-10,4	341,283
ZINC32073568	-10,4	329,254
ZINC25463728	-10,4	404,241
ZINC44718355	-10,4	357,261
ZINC12929365	-10,4	454,171
ZINC27063423	-10,4	420,336
ZINC20074913	-10,4	411,15
ZINC40133880	-10,4	411,712
ZINC24977010	-10,4	479,819
ZINC77906101	-10,4	392,334
ZINC06987844	-10,4	341,262
ZINC77005836	-10,4	342,273
ZINC91739167	-10,4	323,238
ZINC09749506	-10,4	440,375
ZINC12763010	-10,4	373,282
ZINC67455273	-10,4	367,303
ZINC09639053	-10,4	415,319
ZINC33125290	-10,4	390,721
ZINC71963194	-10,4	417,319
ZINC21904461	-10,4	388,725
ZINC39875823	-10,4	427,284
ZINC60348335	-10,4	446,405
ZINC07285541	-10,4	353,273
ZINC09703457	-10,4	448,735
ZINC59893549	-10,4	411,356
ZINC14900848	-10,4	426,338
ZINC08291695	-10,4	381,323
ZINC90912717	-10,4	334,269
ZINC19688794	-10,4	251,224
ZINC04235691	-10,4	470,3
